Project_ID,Project_Priority,Phase,Team_Size,Duration_Months,Budget,Expenditure,Risk_Rating,Completion_Percent,On_Time,Success
P0041,Low,Planning,6,6,346851,291717,9,48,1,0
P0042,High,Closure,19,7,219329,256447,6,35,1,0
P0043,High,Planning,5,20,267354,182983,5,9,0,0
P0044,Low,Closure,15,23,71215,54284,10,94,0,0
P0045,Low,Monitoring,11,18,196907,127820,6,5,0,0
P0046,High,Planning,9,11,321573,194814,9,56,1,0
P0047,Medium,Execution,17,19,354296,305631,7,0,0,0
P0048,Low,Execution,13,5,118048,91661,10,70,1,0
P0049,Medium,Closure,4,19,179530,224832,10,57,1,0
P0050,Medium,Execution,17,11,187241,157924,9,90,1,0
P0051,Medium,Planning,16,24,148731,172212,4,20,1,0
P0052,Low,Execution,13,12,463830,507245,2,91,1,0
P0053,Medium,Monitoring,5,10,249977,214532,8,79,1,0
P0054,Low,Monitoring,19,8,349384,461895,4,55,1,0
P0055,Medium,Closure,14,24,436009,415824,9,86,1,0
P0056,High,Planning,17,9,123688,148747,4,19,0,0
P0057,High,Monitoring,18,4,318617,375751,8,53,1,0
P0058,Low,Monitoring,7,5,368906,362608,9,24,0,0
P0059,High,Planning,8,21,230460,242035,9,27,1,0
P0060,High,Execution,7,8,491546,503743,10,4,1,0
P0061,Medium,Execution,5,23,379100,254432,4,20,0,0
P0062,Low,Closure,3,9,390596,356011,1,17,0,0
P0063,Medium,Execution,8,15,196823,219428,3,46,0,0
P0064,Medium,Planning,17,15,398455,480232,9,69,1,0
P0065,Medium,Monitoring,4,16,219987,166282,4,56,1,0
P0066,Medium,Execution,5,14,457470,460107,5,92,1,0
P0067,Medium,Closure,19,8,279150,259658,7,18,1,0
P0068,Medium,Execution,14,18,259243,227207,5,96,0,0
P0069,Medium,Planning,20,10,84218,81792,4,64,1,0
P0070,Low,Closure,17,20,206416,194774,2,2,0,0
P0071,High,Execution,14,6,437056,440675,2,41,1,0
P0072,Medium,Closure,18,12,42430,50421,4,20,0,0
P0073,Medium,Planning,10,2,33091,34971,10,98,1,0
P0074,Medium,Monitoring,16,7,267125,257005,10,39,1,0
P0075,Medium,Planning,19,16,436199,555248,9,66,0,0
P0076,Medium,Planning,10,3,33989,38135,8,24,1,0
P0077,Medium,Planning,17,13,85451,75326,3,54,0,0
P0078,High,Planning,16,3,28990,19034,9,83,1,0
P0079,High,Monitoring,20,18,362414,254571,5,51,1,0
P0080,Medium,Monitoring,9,11,352504,383047,3,43,1,0
P0081,High,Closure,5,8,260541,201642,5,97,1,1
P0082,Low,Execution,14,6,308225,215260,10,84,1,0
P0083,Medium,Monitoring,5,1,152105,113832,4,55,1,0
P0084,Low,Monitoring,16,1,380416,290076,8,54,1,0
P0085,Low,Execution,17,23,288385,308609,5,86,0,0
P0086,Medium,Monitoring,16,8,134932,117208,10,69,1,0
P0087,High,Planning,9,5,278083,173947,8,76,1,0
P0088,Low,Planning,19,16,123000,111463,9,86,0,0
P0089,Medium,Execution,14,11,188634,178155,4,72,1,0
P0090,Low,Closure,6,5,45063,36236,7,80,1,0
P0091,Low,Closure,11,4,217793,246362,2,65,1,0
P0092,Low,Execution,8,6,168117,137151,6,18,0,0
P0093,Low,Execution,18,14,447985,502490,8,82,1,0
P0094,High,Planning,4,22,319262,325441,7,6,0,0
P0095,Low,Closure,10,19,94703,102783,7,62,1,0
P0096,Low,Monitoring,13,9,424841,289015,8,41,1,0
P0097,Low,Planning,15,12,245796,226049,7,41,1,0
P0098,High,Execution,19,11,138557,123237,5,58,1,0
P0099,Low,Closure,10,14,299220,184199,7,19,1,0
P0100,Low,Monitoring,20,23,263317,295181,10,72,1,0
P0101,High,Monitoring,20,16,205877,151632,3,16,1,0
P0102,High,Planning,16,1,316749,246458,5,26,0,0
P0103,High,Closure,17,13,356709,248746,7,46,1,0
P0104,Low,Closure,8,23,491725,511510,9,1,0,0
P0105,High,Execution,13,21,311265,185144,2,62,0,0
P0106,High,Closure,15,21,468317,479357,4,61,0,0
P0107,Low,Closure,3,13,303577,336637,7,99,1,0
P0108,High,Planning,8,2,53309,53705,1,18,1,0
P0109,Low,Closure,11,4,339612,354054,2,16,1,0
P0110,Medium,Monitoring,10,6,447470,470697,9,68,1,0
P0111,High,Planning,13,23,339437,241039,10,38,1,0
P0112,Medium,Planning,11,5,368402,437273,7,81,0,0
P0113,Low,Execution,19,3,441069,356377,10,70,1,0
P0114,High,Closure,14,1,310549,275370,7,80,1,0
P0115,Low,Execution,16,4,469868,391622,6,38,1,0
P0116,Medium,Monitoring,17,20,53527,53436,3,35,1,0
P0117,Low,Planning,18,2,349371,276838,10,39,1,0
P0118,High,Planning,3,5,403708,368740,3,44,1,0
P0119,High,Planning,12,3,234490,153105,2,3,1,0
P0120,Medium,Monitoring,10,9,149883,169807,6,24,1,0
P0121,Low,Monitoring,20,20,103344,106873,4,68,0,0
P0122,High,Execution,3,6,165344,139144,5,29,1,0
P0123,Medium,Execution,4,18,497151,400788,3,75,0,0
P0124,High,Execution,3,6,475226,488972,6,67,1,0
P0125,High,Closure,3,19,233564,177167,3,87,0,0
P0126,Low,Planning,11,12,57153,52870,8,28,1,0
P0127,High,Planning,15,11,118042,133656,9,72,0,0
P0128,Low,Execution,3,2,64110,47297,4,67,1,0
P0129,High,Planning,15,15,155051,150976,9,50,0,0
P0130,Medium,Execution,9,12,251131,241875,7,23,1,0
P0131,High,Closure,4,12,249173,219404,3,13,1,0
P0132,Low,Closure,8,9,38328,30633,7,68,1,0
P0133,Low,Monitoring,9,21,122911,140482,1,17,0,0
P0134,Medium,Closure,16,24,285011,222447,3,41,0,0
P0135,High,Execution,20,2,69234,37219,6,56,1,0
P0136,High,Closure,17,22,297995,306370,4,82,0,0
P0137,Medium,Monitoring,4,3,303423,200180,7,11,1,0
P0138,High,Planning,12,12,258503,268423,3,81,0,0
P0139,High,Execution,14,16,237135,276731,1,16,1,0
P0140,Low,Planning,19,21,83402,85566,9,29,0,0
P0141,High,Monitoring,10,24,287593,320459,6,87,1,0
P0142,High,Monitoring,13,1,348365,454271,8,74,1,0
P0143,Medium,Monitoring,5,21,361224,394945,3,98,0,0
P0144,Medium,Planning,8,3,15451,14927,8,22,0,0
P0145,Low,Planning,11,20,97178,119216,2,80,0,0
P0146,High,Planning,8,2,444532,556089,4,0,1,0
P0147,High,Planning,11,9,466280,584600,3,78,1,0
P0148,High,Monitoring,9,19,335905,269251,10,31,1,0
P0149,Low,Monitoring,11,15,246562,155135,1,8,0,0
P0150,Low,Execution,20,18,311014,245502,7,14,0,0
P0151,Medium,Execution,14,11,368710,383726,10,27,1,0
P0152,Low,Planning,10,23,395893,368905,2,23,0,0
P0153,High,Closure,10,16,133765,114864,4,59,0,0
P0154,High,Closure,20,22,397025,401827,9,34,0,0
P0155,Low,Monitoring,17,17,434089,262988,6,85,0,0
P0156,High,Monitoring,9,5,138389,128457,8,26,1,0
P0157,High,Monitoring,13,12,199699,224400,2,82,1,0
P0158,Low,Execution,18,11,207227,209270,7,75,1,0
P0159,Low,Execution,6,15,297516,308929,6,19,1,0
P0160,High,Monitoring,8,3,275786,336314,9,64,0,0
P0161,High,Monitoring,5,1,270220,239623,7,84,1,0
P0162,High,Monitoring,11,20,431217,331770,1,48,0,0
P0163,Medium,Closure,12,16,306208,348435,8,0,0,0
P0164,Medium,Execution,16,2,235898,267561,10,9,1,0
P0165,Medium,Closure,13,2,286266,289603,3,46,1,0
P0166,Low,Closure,20,3,428036,371503,2,58,1,0
P0167,Medium,Monitoring,14,8,78431,70609,3,95,1,1
P0168,Low,Monitoring,14,24,65745,42382,6,61,0,0
P0169,Low,Planning,15,15,60081,67446,3,85,1,0
P0170,Medium,Planning,15,7,474118,528892,10,17,1,0
P0171,Medium,Closure,16,6,411927,262670,5,45,0,0
P0172,Medium,Execution,6,9,226204,242835,6,31,1,0
P0173,High,Monitoring,15,20,422009,413915,8,26,0,0
P0174,Medium,Monitoring,10,1,411415,286182,7,91,1,0
P0175,High,Closure,14,8,86253,56823,8,17,1,0
P0176,Low,Planning,20,23,308335,300533,3,38,0,0
P0177,High,Execution,8,23,282355,231660,4,48,0,0
P0178,Medium,Planning,20,3,121086,153051,6,92,1,0
P0179,Low,Planning,7,4,466285,508492,7,81,1,0
P0180,Low,Planning,11,15,492112,489522,9,43,1,0
P0181,Low,Planning,5,6,459962,462085,1,71,1,0
P0182,High,Monitoring,12,15,424758,495341,8,53,1,0
P0183,Medium,Monitoring,5,21,434528,464642,8,94,0,0
P0184,Low,Planning,17,3,448458,448437,6,33,1,0
P0185,Low,Execution,3,21,374115,263357,4,70,0,0
P0186,Low,Closure,9,21,103783,155674,3,35,0,0
P0187,High,Execution,14,14,135681,92176,3,17,0,0
P0188,High,Execution,19,20,97893,81984,6,37,0,0
P0189,Medium,Execution,7,14,458604,260970,8,58,0,0
P0190,High,Planning,6,4,168763,170072,7,8,1,0
P0191,Low,Monitoring,14,12,87960,81822,1,72,1,0
P0192,Medium,Execution,20,17,356532,375447,6,71,0,0
P0193,Low,Planning,19,7,32601,18001,7,50,0,0
P0194,Low,Execution,11,9,421236,472871,7,34,1,0
P0195,High,Execution,6,3,149227,110206,9,81,1,0
P0196,Medium,Planning,4,13,210191,182907,10,4,1,0
P0197,High,Monitoring,6,15,484267,526066,5,13,1,0
P0198,High,Monitoring,4,18,177849,169357,1,91,0,0
P0199,Medium,Closure,17,19,291854,282044,2,29,1,0
P0200,Low,Planning,4,1,380858,403646,4,3,0,0
P0201,Low,Closure,6,6,165604,163245,5,38,1,0
P0202,Medium,Closure,8,23,138727,115390,9,83,1,0
P0203,Low,Closure,9,2,421817,365591,1,63,1,0
P0204,Medium,Monitoring,12,24,73227,69007,3,24,0,0
P0205,Medium,Planning,14,14,146039,105277,5,27,1,0
P0206,High,Closure,5,6,94289,103642,3,75,1,0
P0207,Medium,Planning,15,14,161094,154284,4,65,0,0
P0208,High,Planning,20,4,446679,408691,3,77,1,0
P0209,Low,Monitoring,10,21,215743,245623,4,21,0,0
P0210,Low,Closure,17,8,277866,243404,1,30,1,0
P0211,Low,Closure,3,3,168485,145489,8,22,1,0
P0212,Low,Planning,5,19,495988,398315,4,47,0,0
P0213,High,Execution,10,14,353194,342108,7,19,0,0
P0214,Low,Monitoring,6,20,243820,234479,2,37,1,0
P0215,Medium,Monitoring,18,17,246994,189380,2,54,0,0
P0216,Medium,Monitoring,12,8,489083,422793,6,67,1,0
P0217,Medium,Monitoring,14,24,355740,273236,2,78,0,0
P0218,High,Closure,16,14,338876,257215,6,87,1,0
P0219,Low,Closure,16,6,415513,230202,2,88,1,1
P0220,Low,Execution,4,23,78323,66873,4,0,0,0
P0221,Low,Monitoring,7,22,295960,165606,7,6,0,0
P0222,High,Monitoring,7,16,50695,40933,8,56,0,0
P0223,Medium,Planning,8,19,422918,328802,3,94,0,0
P0224,Medium,Closure,15,14,428458,475750,9,11,1,0
P0225,Low,Monitoring,11,19,65841,45892,2,4,0,0
P0226,Medium,Execution,17,3,400642,299585,8,49,1,0
P0227,Medium,Execution,16,10,208784,171974,8,41,0,0
P0228,High,Closure,9,19,488879,383267,4,11,0,0
P0229,High,Execution,4,9,117096,137453,1,17,0,0
P0230,High,Execution,9,20,102764,69086,1,65,0,0
P0231,High,Closure,8,13,456790,376449,2,73,1,0
P0232,Low,Monitoring,19,7,95744,92528,9,78,1,0
P0233,High,Monitoring,4,14,300626,323544,2,93,0,0
P0234,Medium,Execution,5,9,19171,15795,2,16,1,0
P0235,Low,Execution,7,23,110755,57191,6,67,0,0
P0236,Medium,Monitoring,7,19,118125,102766,7,70,0,0
P0237,Medium,Closure,3,15,402866,471516,7,61,1,0
P0238,Medium,Execution,10,20,378226,361749,9,40,0,0
P0239,High,Planning,14,14,13696,12973,6,94,0,0
P0240,High,Closure,6,24,136310,93699,8,33,0,0
P0241,Low,Execution,15,6,423274,282266,6,69,1,0
P0242,Low,Execution,17,21,161385,145828,2,44,0,0
P0243,High,Planning,13,4,291293,179064,1,57,1,0
P0244,Medium,Planning,12,8,402208,424841,5,50,1,0
P0245,Low,Monitoring,5,17,325665,237953,9,33,0,0
P0246,High,Closure,16,9,55740,49891,8,43,1,0
P0247,High,Closure,18,1,116611,60969,4,14,1,0
P0248,High,Monitoring,12,24,408172,335207,5,77,0,0
P0249,Medium,Closure,12,20,478947,317459,5,69,1,0
P0250,High,Closure,14,14,485828,242914,6,49,1,0
P0251,High,Closure,11,11,258922,261088,3,100,1,0
P0252,High,Closure,3,21,338785,416106,5,31,0,0
P0253,High,Closure,7,3,73811,83103,2,66,1,0
P0254,Low,Planning,10,9,455376,471923,10,2,1,0
P0255,Low,Closure,13,14,192385,157212,1,85,1,1
P0256,High,Planning,14,9,73232,77712,1,85,1,0
P0257,Medium,Closure,3,4,287561,329191,10,73,0,0
P0258,Low,Monitoring,13,4,165801,153757,7,50,1,0
P0259,High,Execution,7,8,122492,81227,2,66,1,0
P0260,Low,Planning,17,2,40099,32084,4,75,1,0
P0261,Low,Closure,7,9,239206,296744,5,92,1,0
P0262,Medium,Monitoring,14,14,433177,383383,7,47,1,0
P0263,High,Execution,7,22,415818,207909,2,16,1,0
P0264,High,Planning,19,9,128474,77882,6,6,1,0
P0265,Medium,Execution,19,24,281400,229372,1,12,0,0
P0266,Medium,Monitoring,14,23,489336,541775,7,65,0,0
P0267,High,Planning,17,16,253588,214377,9,3,0,0
P0268,High,Execution,17,17,44681,49635,5,9,0,0
P0269,Medium,Closure,8,16,101328,80532,5,87,0,0
P0270,Low,Planning,14,12,228512,115887,4,16,1,0
P0271,Low,Execution,20,3,468005,375193,3,51,1,0
P0272,Medium,Monitoring,16,11,315505,305720,9,5,1,0
P0273,Low,Monitoring,4,14,467719,445450,5,82,0,0
P0274,Medium,Planning,11,18,44540,28905,8,68,0,0
P0275,Low,Execution,7,21,167608,139074,9,95,1,0
P0276,Low,Planning,3,21,94700,136077,5,73,0,0
P0277,High,Planning,5,5,466259,304628,10,8,1,0
P0278,High,Execution,8,16,350676,361948,9,90,0,0
P0279,Low,Execution,7,20,197647,98823,2,76,0,0
P0280,Low,Closure,7,5,399770,428856,9,82,1,0
P0281,High,Execution,3,3,406087,293005,4,20,1,0
P0282,High,Monitoring,19,12,56002,54905,6,23,1,0
P0283,High,Planning,16,1,59812,38381,6,3,0,0
P0284,Medium,Planning,14,21,425842,408029,6,23,0,0
P0285,Low,Monitoring,12,9,201051,144408,2,58,1,0
P0286,High,Execution,20,9,479273,362805,7,98,1,0
P0287,Low,Monitoring,13,4,267906,264797,6,2,0,0
P0288,Medium,Monitoring,4,3,118946,96812,1,67,1,0
P0289,Medium,Closure,20,17,76668,74833,2,100,0,0
P0290,High,Monitoring,9,2,109003,93942,7,39,1,0
P0291,Medium,Planning,17,24,221142,202012,1,47,0,0
P0292,Low,Monitoring,13,1,230462,227930,1,53,0,0
P0293,High,Planning,20,8,315142,261566,1,34,1,0
P0294,Low,Planning,14,13,204886,143582,8,94,1,0
P0295,Low,Planning,8,23,114601,90940,4,55,1,0
P0296,Medium,Execution,15,15,448823,511221,4,88,1,0
P0297,Medium,Closure,18,8,279956,258465,2,39,1,0
P0298,Medium,Planning,20,12,71844,52519,1,76,1,0
P0299,Medium,Planning,12,22,211165,207007,10,67,0,0
P0300,Medium,Execution,10,12,405395,402826,9,45,1,0
P0301,High,Planning,20,14,184870,185609,7,77,1,0
P0302,Low,Monitoring,3,15,84601,59595,4,12,1,0
P0303,Low,Monitoring,10,15,411491,314182,6,26,1,0
P0304,Low,Closure,8,9,453790,346983,2,5,1,0
P0305,Low,Planning,7,19,320001,264919,7,16,1,0
P0306,Medium,Execution,17,20,397699,400794,2,35,0,0
P0307,Low,Monitoring,17,22,292844,280906,10,98,0,0
P0308,High,Execution,4,8,267927,261240,8,80,1,0
P0309,High,Execution,3,21,442680,518291,8,1,0,0
P0310,Low,Monitoring,13,19,183423,190352,1,76,0,0
P0311,Low,Execution,12,6,103330,90066,8,51,1,0
P0312,High,Monitoring,20,20,235391,156116,2,65,0,0
P0313,High,Execution,20,19,223606,169290,6,51,0,0
P0314,Medium,Monitoring,19,4,417085,353545,1,91,1,1
P0315,High,Planning,10,23,201387,214643,5,42,0,0
P0316,Medium,Closure,17,7,251133,224646,7,89,1,0
P0317,Medium,Monitoring,10,4,496904,382000,10,21,0,0
P0318,Medium,Monitoring,19,22,424170,319578,1,54,0,0
P0319,Medium,Closure,14,12,172627,152962,2,66,1,0
P0320,Medium,Monitoring,10,13,335497,361664,7,98,1,0
P0321,Low,Monitoring,16,3,485406,591323,6,59,0,0
P0322,High,Execution,6,22,448242,384970,3,57,0,0
P0323,Medium,Closure,3,12,372916,332287,10,11,1,0
P0324,High,Planning,3,2,188048,123587,2,87,1,1
P0325,High,Monitoring,18,24,483794,623048,10,68,1,0
P0326,Medium,Closure,16,2,363646,225387,4,83,1,1
P0327,Low,Execution,18,23,386087,437951,3,38,0,0
P0328,Medium,Planning,7,9,381994,315883,7,12,0,0
P0329,Low,Closure,11,1,55095,42981,8,40,0,0
P0330,High,Planning,4,8,155342,105321,2,56,0,0
P0331,Low,Planning,20,23,171980,237678,10,52,0,0
P0332,Low,Planning,8,6,287667,271643,7,11,1,0
P0333,Low,Monitoring,11,6,72433,65497,8,12,1,0
P0334,High,Monitoring,3,22,450284,485111,6,73,0,0
P0335,High,Execution,11,18,29991,23088,6,96,0,0
P0336,Low,Execution,18,17,282919,254731,10,56,0,0
P0337,Low,Closure,15,12,481017,438335,1,39,1,0
P0338,Medium,Execution,11,6,357139,284843,4,79,1,0
P0339,Low,Planning,15,8,464466,529457,1,44,1,0
P0340,Medium,Planning,11,19,157745,135072,4,34,0,0
P0341,Low,Monitoring,13,10,132808,78273,2,2,1,0
P0342,Medium,Planning,6,1,168128,141177,5,4,1,0
P0343,High,Closure,4,13,147686,140277,10,89,1,0
P0344,Low,Planning,8,17,17415,12561,9,10,0,0
P0345,Low,Planning,16,3,491907,362575,10,70,1,0
P0346,Low,Closure,6,8,256038,202461,3,55,1,0
P0347,Low,Execution,8,14,447100,511592,8,9,1,0
P0348,Medium,Execution,8,3,420180,337223,3,33,0,0
P0349,Low,Closure,4,16,440942,522879,6,66,0,0
P0350,High,Monitoring,20,13,264205,205289,4,71,1,0
P0351,High,Planning,15,20,309188,298367,8,30,1,0
P0352,Low,Closure,11,24,198221,160707,6,74,0,0
P0353,High,Planning,15,17,178616,187692,8,70,1,0
P0354,Low,Monitoring,13,13,59976,40564,1,65,0,0
P0355,Low,Planning,3,6,435468,456619,6,69,1,0
P0356,High,Closure,9,17,275976,254663,1,40,1,0
P0357,Low,Planning,17,14,231883,179014,1,62,1,0
P0358,High,Execution,3,17,221509,191994,8,31,0,0
P0359,Medium,Monitoring,14,8,306292,369624,7,19,1,0
P0360,Low,Monitoring,9,11,464456,430814,3,56,1,0
P0361,Medium,Monitoring,17,20,249241,189287,6,97,1,0
P0362,High,Closure,3,1,229526,151271,9,49,1,0
P0363,Medium,Monitoring,19,7,384374,384789,7,79,1,0
P0364,Medium,Execution,19,21,357220,335489,3,24,0,0
P0365,High,Closure,5,21,480332,499066,6,11,0,0
P0366,Medium,Execution,14,17,456675,277455,4,70,0,0
P0367,Medium,Planning,8,10,310546,206683,3,38,1,0
P0368,High,Planning,13,11,198799,224518,9,16,0,0
P0369,Medium,Planning,5,22,48578,46939,10,44,0,0
P0370,High,Planning,10,9,100453,101124,2,10,0,0
P0371,Medium,Execution,16,9,425534,301049,1,69,1,0
P0372,High,Closure,16,24,347859,244824,2,22,0,0
P0373,High,Closure,12,5,218859,240362,7,90,1,0
P0374,Medium,Monitoring,4,17,121435,134510,10,69,0,0
P0375,Medium,Execution,16,9,226101,154276,1,37,1,0
P0376,Medium,Planning,11,17,161538,104050,6,1,1,0
P0377,Low,Execution,5,24,367886,323107,7,85,0,0
P0378,Low,Monitoring,10,21,55475,41058,9,83,1,0
P0379,Low,Monitoring,18,19,332286,244550,8,88,0,0
P0380,High,Execution,4,7,226232,146988,6,78,1,0
P0381,Medium,Execution,8,23,167636,135167,3,92,0,0
P0382,High,Execution,14,9,163484,109380,8,71,0,0
P0383,Low,Closure,7,7,103526,70492,7,36,1,0
P0384,Medium,Planning,4,13,61001,58541,3,48,0,0
P0385,High,Execution,18,11,329793,293172,9,51,0,0
P0386,Medium,Execution,7,14,202029,201418,2,32,1,0
P0387,High,Execution,17,19,438733,250162,3,21,0,0
P0388,Medium,Monitoring,14,11,154228,139109,2,4,1,0
P0389,Low,Monitoring,6,13,426280,560612,1,17,1,0
P0390,Low,Closure,17,14,35711,29481,4,37,1,0
P0391,Medium,Planning,13,13,40106,42710,5,36,1,0
P0392,High,Closure,18,1,337602,358938,6,93,1,0
P0393,Low,Planning,8,8,419805,450467,5,94,1,0
P0394,Low,Monitoring,16,12,492488,459654,1,63,1,0
P0395,Low,Monitoring,20,19,402573,407893,3,9,0,0
P0396,Medium,Monitoring,14,12,227583,236641,1,78,1,0
P0397,Medium,Closure,13,8,373898,384026,5,41,1,0
P0398,High,Execution,15,8,148286,100317,5,47,1,0
P0399,High,Execution,13,21,237189,132475,6,43,1,0
P0400,High,Monitoring,18,13,488947,288128,8,81,1,0
P0401,Medium,Execution,17,12,136479,115456,10,86,1,0
P0402,Medium,Execution,17,16,430343,438427,1,96,0,0
P0403,High,Closure,6,1,146213,99295,4,15,1,0
P0404,High,Planning,13,13,38884,42181,10,53,1,0
P0405,Medium,Monitoring,17,7,493637,394684,1,34,0,0
P0406,High,Monitoring,6,5,274852,220279,9,97,1,0
P0407,Low,Closure,15,8,290519,212886,7,27,1,0
P0408,Medium,Closure,4,14,25088,13122,7,1,1,0
P0409,High,Execution,16,23,329759,311906,5,93,0,0
P0410,Medium,Monitoring,6,13,382282,474998,7,12,1,0
P0411,Low,Planning,18,15,186118,165173,2,40,1,0
P0412,Medium,Closure,16,23,282158,149508,4,79,0,0
P0413,Medium,Planning,17,17,205497,217018,7,58,0,0
P0414,Medium,Planning,5,15,406489,233747,3,68,1,0
P0415,Medium,Monitoring,10,20,188207,123876,2,91,0,0
P0416,Low,Monitoring,18,18,374986,319612,10,52,1,0
P0417,Medium,Closure,12,18,434097,401352,2,44,0,0
P0418,Medium,Monitoring,6,2,88077,61501,1,19,1,0
P0419,High,Monitoring,20,4,149784,126498,5,23,1,0
P0420,Medium,Monitoring,4,1,215776,225061,6,60,1,0
P0421,High,Planning,19,4,325018,347910,6,90,1,0
P0422,Low,Closure,15,18,79087,90973,9,93,0,0
P0423,Low,Execution,6,5,284441,364620,4,57,1,0
P0424,Low,Planning,13,19,250341,265856,1,26,0,0
P0425,Low,Monitoring,9,15,299272,256372,6,25,1,0
P0426,High,Planning,14,8,78368,83999,5,6,1,0
P0427,Medium,Monitoring,12,20,497235,493925,10,41,0,0
P0428,Low,Monitoring,9,17,490815,491440,6,46,0,0
P0429,Medium,Planning,15,1,229571,214750,3,52,1,0
P0430,High,Closure,9,12,351102,251946,2,58,1,0
P0431,High,Monitoring,19,19,305064,211830,6,37,0,0
P0432,High,Closure,12,15,261514,230283,1,68,1,0
P0433,Low,Execution,12,9,414372,385275,7,86,0,0
P0434,Medium,Monitoring,6,7,152180,116282,7,91,1,0
P0435,Medium,Closure,6,2,435061,428390,10,97,1,0
P0436,Medium,Closure,9,9,406016,534379,7,52,1,0
P0437,High,Execution,3,10,269904,148753,10,14,0,0
P0438,Low,Closure,14,2,445928,453263,1,95,1,0
P0439,High,Closure,15,19,405826,359888,4,25,0,0
P0440,High,Execution,12,11,87603,86738,7,47,1,0
P0441,Medium,Monitoring,17,13,43872,35705,9,94,1,0
P0442,High,Closure,15,10,282872,246321,5,18,1,0
P0443,Medium,Closure,11,14,367246,340033,2,8,1,0
P0444,Low,Closure,11,18,498535,418606,7,63,1,0
P0445,Medium,Planning,17,19,394193,234896,10,92,1,0
P0446,Low,Execution,12,22,292727,249759,1,53,0,0
P0447,Medium,Planning,12,9,95774,59065,7,50,1,0
P0448,High,Execution,10,7,410479,423055,6,38,0,0
P0449,High,Monitoring,18,3,398518,209975,7,3,1,0
P0450,Low,Monitoring,19,20,208522,230569,10,2,0,0
P0451,Low,Closure,7,6,230357,227111,3,63,1,0
P0452,Low,Execution,6,21,422672,417041,3,28,0,0
P0453,Medium,Monitoring,20,2,363262,181631,7,10,1,0
P0454,Medium,Execution,6,6,75942,63356,2,96,1,1
P0455,Low,Monitoring,9,3,23689,26785,1,57,1,0
P0456,High,Planning,12,16,436150,347296,9,74,0,0
P0457,Medium,Monitoring,20,8,43276,29617,9,26,1,0
P0458,Medium,Planning,6,2,111968,86513,7,96,1,0
P0459,Medium,Monitoring,12,17,423089,375002,7,20,1,0
P0460,Low,Closure,3,9,285194,208113,3,38,1,0
P0461,Low,Planning,20,12,76216,87401,10,94,1,0
P0462,Low,Monitoring,7,3,225516,200047,2,45,0,0
P0463,Low,Closure,17,11,356184,280988,7,65,0,0
P0464,Low,Planning,19,1,31644,20243,9,90,1,0
P0465,High,Closure,5,23,72021,71796,1,35,0,0
P0466,High,Execution,14,13,178197,176830,4,74,1,0
P0467,Low,Execution,4,15,470115,348617,6,81,0,0
P0468,Medium,Planning,3,5,52291,26145,7,64,0,0
P0469,Low,Monitoring,19,21,438276,430453,10,62,1,0
